MU,Date
0.44545072317123413,1985-11-04 00:00:00-05:00
0.457489937543869,1985-11-05 00:00:00-05:00
0.4695291221141815,1985-11-06 00:00:00-05:00
0.541764497756958,1985-11-07 00:00:00-05:00
0.5899212956428528,1985-11-08 00:00:00-05:00
0.6019604206085205,1985-11-11 00:00:00-05:00
0.6260389685630798,1985-11-12 00:00:00-05:00
0.577881932258606,1985-11-13 00:00:00-05:00
0.5899212956428528,1985-11-14 00:00:00-05:00
0.577881932258606,1985-11-15 00:00:00-05:00
0.5899212956428528,1985-11-18 00:00:00-05:00
0.6982742547988892,1985-11-19 00:00:00-05:00
0.6621565818786621,1985-11-20 00:00:00-05:00
0.6501173377037048,1985-11-21 00:00:00-05:00
0.6862349510192871,1985-11-22 00:00:00-05:00
0.6741955876350403,1985-11-25 00:00:00-05:00
0.6862349510192871,1985-11-26 00:00:00-05:00
0.7705093622207642,1985-11-27 00:00:00-05:00
0.8547838926315308,1985-11-29 00:00:00-05:00
0.7945878505706787,1985-12-02 00:00:00-05:00
0.8066270351409912,1985-12-03 00:00:00-05:00
0.914979875087738,1985-12-04 00:00:00-05:00
0.9029407501220703,1985-12-05 00:00:00-05:00
0.8186662793159485,1985-12-06 00:00:00-05:00
0.8788622617721558,1985-12-09 00:00:00-05:00
0.914979875087738,1985-12-10 00:00:00-05:00
0.8909014463424683,1985-12-11 00:00:00-05:00
0.8668229579925537,1985-12-12 00:00:00-05:00
0.914979875087738,1985-12-13 00:00:00-05:00
0.8668229579925537,1985-12-16 00:00:00-05:00
0.7825485467910767,1985-12-17 00:00:00-05:00
0.7103133201599121,1985-12-18 00:00:00-05:00
0.7584701776504517,1985-12-19 00:00:00-05:00
0.7464308142662048,1985-12-20 00:00:00-05:00
0.7945878505706787,1985-12-23 00:00:00-05:00
0.7945878505706787,1985-12-24 00:00:00-05:00
0.8066270351409912,1985-12-26 00:00:00-05:00
0.8066270351409912,1985-12-27 00:00:00-05:00
0.7825485467910767,1985-12-30 00:00:00-05:00
0.8186662793159485,1985-12-31 00:00:00-05:00
0.8186662793159485,1986-01-02 00:00:00-05:00
0.8186662793159485,1986-01-03 00:00:00-05:00
0.8066270351409912,1986-01-06 00:00:00-05:00
0.8307054042816162,1986-01-07 00:00:00-05:00
0.8066270351409912,1986-01-08 00:00:00-05:00
0.7705093622207642,1986-01-09 00:00:00-05:00
0.7825485467910767,1986-01-10 00:00:00-05:00
0.7945878505706787,1986-01-13 00:00:00-05:00
0.8066270351409912,1986-01-14 00:00:00-05:00
0.8427445888519287,1986-01-15 00:00:00-05:00
0.8547838926315308,1986-01-16 00:00:00-05:00
0.7945878505706787,1986-01-17 00:00:00-05:00
0.7945878505706787,1986-01-20 00:00:00-05:00
0.7825485467910767,1986-01-21 00:00:00-05:00
0.7945878505706787,1986-01-22 00:00:00-05:00
0.7945878505706787,1986-01-23 00:00:00-05:00
0.8427445888519287,1986-01-24 00:00:00-05:00
0.914979875087738,1986-01-27 00:00:00-05:00
0.9631367325782776,1986-01-28 00:00:00-05:00
1.0233328342437744,1986-01-29 00:00:00-05:00
1.107607126235962,1986-01-30 00:00:00-05:00
1.1316853761672974,1986-01-31 00:00:00-05:00
0.999254584312439,1986-02-03 00:00:00-05:00
1.0714895725250244,1986-02-04 00:00:00-05:00
1.107607126235962,1986-02-05 00:00:00-05:00
1.083528995513916,1986-02-06 00:00:00-05:00
1.0474110841751099,1986-02-07 00:00:00-05:00
1.059450626373291,1986-02-10 00:00:00-05:00
1.0955681800842285,1986-02-11 00:00:00-05:00
1.059450626373291,1986-02-12 00:00:00-05:00
1.0233328342437744,1986-02-13 00:00:00-05:00
1.0233328342437744,1986-02-14 00:00:00-05:00
1.011293649673462,1986-02-18 00:00:00-05:00
0.9631367325782776,1986-02-19 00:00:00-05:00
0.999254584312439,1986-02-20 00:00:00-05:00
1.035372018814087,1986-02-21 00:00:00-05:00
